Codigo;Nome do Produto;Quantidade;Valor Unitario;Valor Total;Codigo Interno
7898964789092;ELASTICO AMARELO PREMIER 60UND 50G;5;3;15;434
7896952505099;LIXEIRA COM PEDAL JAGUAR 15LT;2;34.95;69.9;4821
7898121653815;CESTO TELADO 9L RISCHIOTO;2;6.9;13.8;1847
7898904869815;COLA TEK BOND 793 20G;10;8.75;87.5;814
7897384700083;PAPEL DE ALUMINIO BOREDA 30CM X 4MT;15;3.25;48.75;2097
7894488000200;ALGODAO HIDROFILO MANA MULTIUSO 20G;50;2;100;2346
6267;TROCA VASILHAME NOSSA AGUA 20LT;6;12;72;1720
7896102509434;MAIONESE QUERO 200G;1;3.5;3.5;4822
7891032014706;KETCHUP OLEO SACHE 300G;1;3.75;3.75;2638
7894900027013;REF COCA COLA 2LT;1;9.5;9.5;1588
7894900031515;REF FANTA LARANJA 2LT;1;9.5;9.5;4469
000089;PRESUNTO REZENDE PERU KG;1.182;26.99;31.9;637
000094;QUEIJO COMUM KG;10.616;37.99;403.3;1056
