Codigo;Nome do Produto;Quantidade;Valor Unitario;Valor Total;Codigo Interno
7,89695E+12;LIXEIRA COM PEDAL JAGUAR 15LT;2;34.95;69.9;4821
7,89812E+12;CESTO TELADO 9L RISCHIOTO;2;6.9;13.8;1847
7,8989E+12;COLA TEK BOND 793 20G;10;8.75;87.5;814
7,89738E+12;PAPEL DE ALUMINIO BOREDA 30CM X 4MT;15;3.25;48.75;2097
7,89449E+12;ALGODAO HIDROFILO MANA MULTIUSO 20G;50;2;100;2346
6267;TROCA VASILHAME NOSSA AGUA 20LT;6;12;72;1720
7,8961E+12;MAIONESE QUERO 200G;1;3.5;3.5;4822
7,89103E+12;KETCHUP OLEO SACHE 300G;1;3.75;3.75;2638
7,8949E+12;REF COCA COLA 2LT;1;9.5;9.5;1588
7,8949E+12;REF FANTA LARANJA 2LT;1;9.5;9.5;4469
89;PRESUNTO REZENDE PERU KG;1.182;26.99;31.9;637
94;QUEIJO COMUM KG;10.616;37.99;403.3;1056
